LOCATION_ID,COVID_COUNT,COVID_DEATHS,COVID_TEST,COUNTY_NAME
18001,5982,93,19244,Adams
18003,76699,955,269458,Allen
18005,14879,201,60108,Bartholomew
18007,1917,20,6721,Benton
18009,2447,49,8280,Blackford
18011,11373,130,50412,Boone
18013,1998,51,6077,Brown
18015,3313,44,10911,Carroll
18017,8998,138,28730,Cass
18019,22320,300,82370,Clark
18021,5191,66,17996,Clay
18023,7111,86,25136,Clinton
18025,1872,30,7144,Crawford
18027,5555,123,18617,Daviess
18029,9975,108,31794,Dearborn
18031,5222,112,17774,Decatur
18033,8972,122,26981,De Kalb
18035,18862,338,73517,Delaware
18037,9548,148,29183,Dubois
18039,43950,592,147658,Elkhart
18041,5224,110,15689,Fayette
18043,13390,240,53518,Floyd
18045,4237,72,12335,Fountain
18047,3349,48,10426,Franklin
18049,3975,84,13387,Fulton
18051,7875,121,22555,Gibson
18053,13488,273,43032,Grant
18055,5274,107,19700,Greene
18057,60250,511,273671,Hamilton
18059,15472,198,62518,Hancock
18061,7750,107,27516,Harrison
18063,30032,422,112748,Hendricks
18065,10166,182,32472,Henry
18067,18807,348,66628,Howard
18069,8717,123,28654,Huntington
18071,8784,98,28108,Jackson
18073,7176,106,23920,Jasper
18075,3715,58,11678,Jay
18077,6804,113,24333,Jefferson
18079,5080,70,16916,Jennings
18081,31695,488,122773,Johnson
18083,7798,119,23542,Knox
18085,15990,181,54520,Kosciusko
18087,4726,93,12421,Lagrange
18089,88476,1355,332295,Lake
18091,19982,283,78185,La Porte
18093,8959,205,28401,Lawrence
18095,24349,498,92315,Madison
18097,169817,2365,719519,Marion
18099,10187,158,35097,Marshall
18101,1648,20,5997,Martin
18103,7254,123,24193,Miami
18105,18576,232,110604,Monroe
18107,8073,132,26252,Montgomery
18109,11919,208,44124,Morgan
18111,2075,56,6718,Newton
18113,10314,137,33714,Noble
18115,1009,15,3503,Ohio
18117,3714,77,12183,Orange
18119,4048,84,16478,Owen
18121,2743,34,10083,Parke
18123,3229,54,12300,Perry
18125,2797,45,7865,Pike
18127,30229,430,113101,Porter
18129,4546,46,14364,Posey
18131,2414,69,8050,Pulaski
18133,7192,90,26071,Putnam
18135,4515,118,15558,Randolph
18137,6358,101,20741,Ripley
18139,3530,36,11898,Rush
18141,56564,704,223319,St. Joseph
18143,5581,82,18010,Scott
18145,9818,145,28699,Shelby
18147,4000,55,11721,Spencer
18149,4044,79,13791,Starke
18151,7557,97,24179,Steuben
18153,3842,58,12207,Sullivan
18155,1662,14,6049,Switzerland
18157,35474,305,151759,Tippecanoe
18159,2768,69,9475,Tipton
18161,1431,18,5033,Union
18163,38656,511,130841,Vanderburgh
18165,3156,61,10141,Vermillion
18167,21552,327,78553,Vigo
18169,6952,130,21262,Wabash
18171,1545,20,4053,Warren
18173,13639,205,44384,Warrick
18175,4305,60,15679,Washington
18177,13641,283,47985,Wayne
18179,5362,118,17483,Wells
18181,5375,75,17890,White
18183,7450,68,22271,Whitley
