FUND SOURCE,DESCRIPTION,FEDERAL AWARDING AGENCY,BUSINESS UNIT,STATE AGENCY NAME,AWARD,EXPENSE,REMAINING
9977,2020 Cooperative Agreement for Emergency Response: Public Health Crisis Response,US DEPT OF HEALTH & HUMAN SVS,400,IN State Department of Health,14842611,14797925.41,44685.59
9990,2020 TIII-Congregate Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans  Act,US DEPT OF HEALTH & HUMAN SVS,498,FSSA Div of Aging,1557609,1557609,0
9991,2020 TIII-Home Delivered Meals - Families First Coronavirus Response Act (P.L. 114-144) - Older Americans Act,US DEPT OF HEALTH & HUMAN SVS,498,FSSA Div of Aging,3115217,3115216.99,0.01
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,1051177,0,1051177
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,250000,91949.62,158050.38
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,163970,163970,0
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,100000,99643.39,356.61
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,2041200,2041200,0
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,10137412,10091161.62,46250.38
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,100000,94501.7,5498.3
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,28330984,12689130.09,15641853.91
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,2041200,1328351.68,712848.32
10000,2020 Pandemic Unemployment Assistance Implementation Grants Admin (PUA),US DEPT OF LABOR,510,Dept of Workforce Development,0,0,0
10001,2020 CARES Act Federal Pandemic Unemployment Compensation Funding (FPUC),US DEPT OF LABOR,510,Dept of Workforce Development,85813,85813,0
10001,2020 CARES Act Federal Pandemic Unemployment Compensation Funding (FPUC),US DEPT OF LABOR,510,Dept of Workforce Development,50000,24371.02,25628.98
10001,2020 CARES Act Federal Pandemic Unemployment Compensation Funding (FPUC),US DEPT OF LABOR,510,Dept of Workforce Development,100000,57628.37,42371.63
10003,2020 Federal Transit CARES Act,US DEPT OF TRANSPORTATION,800,IN Dept of Transportation,55504089,33420545.63,22083543.37
10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants (PEUC),US DEPT OF LABOR,510,Dept of Workforce Development,388800,388038.8,761.2
10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants (PEUC),US DEPT OF LABOR,510,Dept of Workforce Development,117506,117506,0
10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants (PEUC),US DEPT OF LABOR,510,Dept of Workforce Development,2176741,0,2176741
10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants (PEUC),US DEPT OF LABOR,510,Dept of Workforce Development,388800,388038.7,761.3
10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants (PEUC),US DEPT OF LABOR,510,Dept of Workforce Development,535331,535331,0
10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants (PEUC),US DEPT OF LABOR,510,Dept of Workforce Development,0,0,0
10008,2020 Pandemic Emergency Unemployment Compensation Implementation Grants (PEUC),US DEPT OF LABOR,510,Dept of Workforce Development,7958758,4197471.88,3761286.12
