COUNTY,TOTAL_CLAIMS,TOTAL_COST,TOTAL_CLAIMS_PREBIRTHING_EVENT,TOTAL_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_CLAIMS_POSTBIRTHING_EVENT,TOTAL_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,10980,1859001.66,5734,755202.88,22.68,5246,1103798.78,29.35
ALLEN       ,206439,35634994.57,113164,15906663.75,27.83,93275,19728330.82,29.06
BARTHOLOMEW ,32726,5310953.92,15745,1927538.32,18.9,16981,3383415.6,23.82
BENTON      ,5288,749203.32,2776,329829.27,27.83,2512,419374.05,29.16
BLACKFORD   ,7557,1337690.72,4195,671408.89,31.51,3362,666281.83,23.28
BOONE       ,13775,2380588.68,6935,970297.49,23.29,6840,1410291.19,33.16
BROWN       ,4284,805660.73,2315,341340.12,28.35,1969,464320.61,46.96
CARROLL     ,6517,1000003.12,3208,405417.91,26.71,3309,594585.21,29.16
CASS        ,21433,3518593.97,11198,1556868.62,20.45,10235,1961725.35,28.43
CLARK       ,47723,7892954.29,24579,3082874.1,22.87,23144,4810080.19,29.98
CLAY        ,16553,2570436.45,8504,960147.56,22.85,8049,1610288.89,25.68
CLINTON     ,14963,2661503.34,8330,1142423.08,25.9,6633,1519080.26,31.41
CRAWFORD    ,6135,950682.64,3482,492898.67,22.56,2653,457783.97,24.47
DAVIESS     ,15499,2346397.87,8298,1006673.03,25.81,7201,1339724.84,27.56
DEARBORN    ,19272,2894119.14,9809,1355488.33,20.11,9463,1538630.81,24.11
DECATUR     ,12092,1734604.52,6191,677239.2,22.42,5901,1057365.32,29.15
DEKALB      ,16828,2813603.17,8943,1344721.49,29.98,7885,1468881.68,29.98
DELAWARE    ,68646,10512868.86,37325,5152390.13,29.98,31321,5360478.73,26.14
DUBOIS      ,12916,2121037.74,6888,918866.97,18,6028,1202170.77,26.87
ELKHART     ,104564,19886953.36,56199,7465669.33,23.78,48365,12421284.03,33.03
FAYETTE     ,17973,2527864.9,9393,1095408.05,24.68,8580,1432456.85,32.71
FLOYD       ,30431,4701661.52,15785,2015072.01,21.63,14646,2686589.51,29.14
FOUNTAIN    ,6326,963005.21,3368,423621.5,36.54,2958,539383.71,30.18
FRANKLIN    ,6892,984128.27,3800,481782.48,22.58,3092,502345.79,29.88
FULTON      ,7756,1285857,4241,492193.51,22.87,3515,793663.49,24.11
GIBSON      ,14456,2296205.1,7495,1000902.17,23.82,6961,1295302.93,24.58
GRANT       ,38299,6513819.56,20913,2661682.21,17.67,17386,3852137.35,19.99
GREENE      ,16477,2888459.34,8663,1277838.31,20,7814,1610621.03,27.26
HAMILTON    ,42290,7495093.25,21654,3335124.43,26.04,20636,4159968.82,28.43
HANCOCK     ,21419,3329770.66,10418,1341340.58,23.78,11001,1988430.08,29.06
HARRISON    ,17400,2703895.55,9108,1356401,25.73,8292,1347494.55,23.01
HENDRICKS   ,30835,5113234.48,16311,2393343.74,23.78,14524,2719890.74,28.27
HENRY       ,23956,3632795.57,12782,1800843.13,23.85,11174,1831952.44,23.61
HOWARD      ,46917,8038982.89,23655,3583981.75,25.87,23262,4455001.14,31.79
HUNTINGTON  ,19941,3284416.16,10839,1453681.9,23.82,9102,1830734.26,28.44
JACKSON     ,20268,3648091.84,10539,1452553.95,28.1,9729,2195537.89,29.06
JASPER      ,14945,2358389.19,7884,952775.65,27.29,7061,1405613.54,27.58
JAY         ,11635,1626569.99,6491,806378.86,27.29,5144,820191.13,26.47
JEFFERSON   ,17986,2922666.22,9611,1323977.91,23.15,8375,1598688.31,27.43
JENNINGS    ,13924,2397139.96,7140,917070.33,25.59,6784,1480069.63,31.51
JOHNSON     ,54195,8656308.34,28208,3565009.95,23.03,25987,5091298.39,29.33
KNOX        ,23530,3873093.34,12100,1598745.47,20.2,11430,2274347.87,22.85
KOSCIUSKO   ,30137,4587614.32,16344,1931499.82,29.98,13793,2656114.5,29.42
LAGRANGE    ,10744,1579768.34,5480,584312.09,23.82,5264,995456.25,29.06
LAKE        ,249699,45286414.12,138454,20079710.35,23.71,111245,25206703.77,29.35
LAPORTE     ,64556,10390671.25,33635,4397263.3,28,30921,5993407.95,26.47
LAWRENCE    ,26196,4100246.22,13421,1936333.46,23,12775,2163912.76,26.72
MADISON     ,77880,12423472.99,41799,5555369.17,21.89,36081,6868103.82,29.35
MARION      ,634461,116249241.9,344384,52814628.6,26.47,290077,63434613.29,28.43
MARSHALL    ,19441,3610972.19,10916,1496427.32,21.12,8525,2114544.87,28.35
MARTIN      ,6433,1047366.54,3377,442109.71,20.48,3056,605256.83,29.71
MIAMI       ,21362,3458091.62,11685,1639807.03,24.53,9677,1818284.59,29.06
MONROE      ,50898,8057896.18,25223,3352476.33,22.84,25675,4705419.85,29.52
MONTGOMERY  ,17022,2771923.48,8564,1085963.94,27.29,8458,1685959.54,28.1
MORGAN      ,30623,4770802.22,15500,2043490.28,21.88,15123,2727311.94,27.79
NEWTON      ,6370,1183862.44,3353,537102.81,29.3,3017,646759.63,30.63
NOBLE       ,20372,3476491.74,11073,1415626.69,28.35,9299,2060865.05,29.98
OHIO        ,1487,170535.89,833,95838.26,16.58,654,74697.63,18.76
ORANGE      ,14884,2351505.39,7867,980949.62,20,7017,1370555.77,27.43
OWEN        ,10841,1558683.47,5671,731422.58,24,5170,827260.89,29.06
PARKE       ,7383,1213900.02,3883,527123.11,22.88,3500,686776.91,24.94
PERRY       ,8812,1231858.83,4501,534511.59,20.4,4311,697347.24,25.29
