_id,DATE,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS
1,2020-02-26T00:00:00,Hispanic or Latino,0,0,0
2,2020-02-26T00:00:00,Not Hispanic or Latino,1,0,0
3,2020-02-26T00:00:00,Unknown,2,0,0
4,2020-02-27T00:00:00,Hispanic or Latino,0,0,0
5,2020-02-27T00:00:00,Not Hispanic or Latino,0,0,0
6,2020-02-27T00:00:00,Unknown,1,0,0
7,2020-02-28T00:00:00,Hispanic or Latino,0,0,0
8,2020-02-28T00:00:00,Not Hispanic or Latino,0,0,0
9,2020-02-28T00:00:00,Unknown,2,0,0
10,2020-02-29T00:00:00,Hispanic or Latino,0,0,0
11,2020-02-29T00:00:00,Not Hispanic or Latino,0,0,0
12,2020-02-29T00:00:00,Unknown,3,0,0
13,2020-03-01T00:00:00,Hispanic or Latino,0,0,0
14,2020-03-01T00:00:00,Not Hispanic or Latino,0,0,0
15,2020-03-01T00:00:00,Unknown,4,0,0
16,2020-03-02T00:00:00,Hispanic or Latino,0,0,0
17,2020-03-02T00:00:00,Not Hispanic or Latino,2,0,0
18,2020-03-02T00:00:00,Unknown,3,0,0
19,2020-03-03T00:00:00,Hispanic or Latino,0,0,0
20,2020-03-03T00:00:00,Not Hispanic or Latino,3,0,0
21,2020-03-03T00:00:00,Unknown,4,0,0
22,2020-03-04T00:00:00,Hispanic or Latino,0,0,0
23,2020-03-04T00:00:00,Not Hispanic or Latino,1,0,0
24,2020-03-04T00:00:00,Unknown,5,0,0
25,2020-03-05T00:00:00,Hispanic or Latino,0,0,0
26,2020-03-05T00:00:00,Not Hispanic or Latino,2,0,0
27,2020-03-05T00:00:00,Unknown,7,0,0
28,2020-03-06T00:00:00,Hispanic or Latino,0,0,0
29,2020-03-06T00:00:00,Not Hispanic or Latino,6,1,0
30,2020-03-06T00:00:00,Unknown,5,0,0
31,2020-03-07T00:00:00,Hispanic or Latino,1,0,0
32,2020-03-07T00:00:00,Not Hispanic or Latino,1,0,0
33,2020-03-07T00:00:00,Unknown,4,0,0
34,2020-03-08T00:00:00,Hispanic or Latino,0,0,0
35,2020-03-08T00:00:00,Not Hispanic or Latino,5,1,0
36,2020-03-08T00:00:00,Unknown,8,2,0
37,2020-03-09T00:00:00,Hispanic or Latino,0,0,0
38,2020-03-09T00:00:00,Not Hispanic or Latino,13,0,0
39,2020-03-09T00:00:00,Unknown,25,1,0
40,2020-03-10T00:00:00,Hispanic or Latino,3,0,0
41,2020-03-10T00:00:00,Not Hispanic or Latino,18,4,0
42,2020-03-10T00:00:00,Unknown,41,1,0
43,2020-03-11T00:00:00,Hispanic or Latino,1,0,0
44,2020-03-11T00:00:00,Not Hispanic or Latino,9,1,0
45,2020-03-11T00:00:00,Unknown,58,0,0
46,2020-03-12T00:00:00,Hispanic or Latino,3,0,0
47,2020-03-12T00:00:00,Not Hispanic or Latino,36,1,0
48,2020-03-12T00:00:00,Unknown,178,0,0
49,2020-03-13T00:00:00,Hispanic or Latino,4,2,0
50,2020-03-13T00:00:00,Not Hispanic or Latino,58,0,0
51,2020-03-13T00:00:00,Unknown,210,1,0
52,2020-03-14T00:00:00,Hispanic or Latino,3,0,0
53,2020-03-14T00:00:00,Not Hispanic or Latino,34,0,0
54,2020-03-14T00:00:00,Unknown,244,0,0
55,2020-03-15T00:00:00,Hispanic or Latino,7,1,0
56,2020-03-15T00:00:00,Not Hispanic or Latino,38,9,0
57,2020-03-15T00:00:00,Unknown,120,4,0
58,2020-03-16T00:00:00,Hispanic or Latino,6,0,0
59,2020-03-16T00:00:00,Not Hispanic or Latino,83,2,0
60,2020-03-16T00:00:00,Unknown,590,0,1
61,2020-03-17T00:00:00,Hispanic or Latino,6,1,0
62,2020-03-17T00:00:00,Not Hispanic or Latino,105,7,2
63,2020-03-17T00:00:00,Unknown,672,3,0
64,2020-03-18T00:00:00,Hispanic or Latino,5,0,0
65,2020-03-18T00:00:00,Not Hispanic or Latino,121,10,1
66,2020-03-18T00:00:00,Unknown,763,7,0
67,2020-03-19T00:00:00,Hispanic or Latino,8,2,0
68,2020-03-19T00:00:00,Not Hispanic or Latino,259,17,0
69,2020-03-19T00:00:00,Unknown,885,4,0
70,2020-03-20T00:00:00,Hispanic or Latino,7,6,0
71,2020-03-20T00:00:00,Not Hispanic or Latino,351,34,6
72,2020-03-20T00:00:00,Unknown,1421,5,0
73,2020-03-21T00:00:00,Hispanic or Latino,6,2,0
74,2020-03-21T00:00:00,Not Hispanic or Latino,264,56,3
75,2020-03-21T00:00:00,Unknown,453,17,1
76,2020-03-22T00:00:00,Hispanic or Latino,6,1,0
77,2020-03-22T00:00:00,Not Hispanic or Latino,230,52,3
78,2020-03-22T00:00:00,Unknown,805,4,1
79,2020-03-23T00:00:00,Hispanic or Latino,13,4,0
80,2020-03-23T00:00:00,Not Hispanic or Latino,496,85,4
81,2020-03-23T00:00:00,Unknown,1017,16,1
82,2020-03-24T00:00:00,Hispanic or Latino,27,2,0
83,2020-03-24T00:00:00,Not Hispanic or Latino,621,94,3
84,2020-03-24T00:00:00,Unknown,1017,17,2
85,2020-03-25T00:00:00,Hispanic or Latino,14,14,0
86,2020-03-25T00:00:00,Not Hispanic or Latino,690,129,5
87,2020-03-25T00:00:00,Unknown,1653,18,0
88,2020-03-26T00:00:00,Hispanic or Latino,22,20,0
89,2020-03-26T00:00:00,Not Hispanic or Latino,685,224,7
90,2020-03-26T00:00:00,Unknown,1935,58,2
91,2020-03-27T00:00:00,Hispanic or Latino,17,16,0
92,2020-03-27T00:00:00,Not Hispanic or Latino,642,202,3
93,2020-03-27T00:00:00,Unknown,1537,64,0
94,2020-03-28T00:00:00,Hispanic or Latino,18,16,0
95,2020-03-28T00:00:00,Not Hispanic or Latino,395,228,8
96,2020-03-28T00:00:00,Unknown,869,45,5
97,2020-03-29T00:00:00,Hispanic or Latino,12,15,0
98,2020-03-29T00:00:00,Not Hispanic or Latino,403,207,16
99,2020-03-29T00:00:00,Unknown,1222,47,2
100,2020-03-30T00:00:00,Hispanic or Latino,22,21,0
101,2020-03-30T00:00:00,Not Hispanic or Latino,629,250,13
102,2020-03-30T00:00:00,Unknown,1329,96,1
103,2020-03-31T00:00:00,Hispanic or Latino,21,11,0
104,2020-03-31T00:00:00,Not Hispanic or Latino,671,260,21
105,2020-03-31T00:00:00,Unknown,1677,136,2
106,2020-04-01T00:00:00,Hispanic or Latino,40,24,0
107,2020-04-01T00:00:00,Not Hispanic or Latino,710,348,20
108,2020-04-01T00:00:00,Unknown,1826,91,1
109,2020-04-02T00:00:00,Hispanic or Latino,30,22,0
110,2020-04-02T00:00:00,Not Hispanic or Latino,687,289,18
111,2020-04-02T00:00:00,Unknown,1997,86,3
112,2020-04-03T00:00:00,Hispanic or Latino,36,21,1
113,2020-04-03T00:00:00,Not Hispanic or Latino,764,308,28
114,2020-04-03T00:00:00,Unknown,2030,183,3
115,2020-04-04T00:00:00,Hispanic or Latino,18,25,0
116,2020-04-04T00:00:00,Not Hispanic or Latino,490,298,21
117,2020-04-04T00:00:00,Unknown,1159,138,4
118,2020-04-05T00:00:00,Hispanic or Latino,23,42,3
119,2020-04-05T00:00:00,Not Hispanic or Latino,373,338,25
120,2020-04-05T00:00:00,Unknown,731,145,4
121,2020-04-06T00:00:00,Hispanic or Latino,35,32,0
122,2020-04-06T00:00:00,Not Hispanic or Latino,568,341,23
123,2020-04-06T00:00:00,Unknown,1912,182,2
124,2020-04-07T00:00:00,Hispanic or Latino,26,26,0
125,2020-04-07T00:00:00,Not Hispanic or Latino,707,270,31
126,2020-04-07T00:00:00,Unknown,2064,124,7
127,2020-04-08T00:00:00,Hispanic or Latino,68,28,1
128,2020-04-08T00:00:00,Not Hispanic or Latino,971,287,24
129,2020-04-08T00:00:00,Unknown,2049,106,4
130,2020-04-09T00:00:00,Hispanic or Latino,68,38,1
131,2020-04-09T00:00:00,Not Hispanic or Latino,858,364,28
132,2020-04-09T00:00:00,Unknown,1899,156,7
133,2020-04-10T00:00:00,Hispanic or Latino,83,41,2
134,2020-04-10T00:00:00,Not Hispanic or Latino,924,318,18
135,2020-04-10T00:00:00,Unknown,1832,154,6
136,2020-04-11T00:00:00,Hispanic or Latino,53,40,0
137,2020-04-11T00:00:00,Not Hispanic or Latino,581,283,18
138,2020-04-11T00:00:00,Unknown,942,162,5
139,2020-04-12T00:00:00,Hispanic or Latino,24,27,1
140,2020-04-12T00:00:00,Not Hispanic or Latino,324,166,22
141,2020-04-12T00:00:00,Unknown,409,121,4
