Category,Equal,Not Equal ,Less ,Greater,Aggregate functions
actual,1,1,0,0,0
affilication,1,1,0,0,0
weight,1,1,1,1,1
state,1,1,0,0,0
religion,1,1,0,0,0
company,1,1,0,0,0
grades,1,1,1,1,1
area,1,1,0,0,0
component,1,1,0,0,0
company,1,1,0,0,0
manufacturer,1,1,0,0,0
weight,1,1,1,1,1
genre,1,1,0,0,0
album,1,1,0,0,0
origin,1,1,0,0,0
description,1,1,0,0,0
status,1,1,0,0,0
credit,1,1,0,0,0
team name,1,1,0,0,0
artist,1,1,0,0,0
address,1,1,0,0,0
age,1,1,1,1,1
album,1,1,0,0,0
club,1,1,0,0,0
description,1,1,0,0,0
family,1,1,0,0,0
code,1,1,0,0,0
plays,1,1,0,0,0
description,1,1,0,0,0
country,1,1,0,0,0
name,1,1,0,0,0
plays,1,1,0,0,0
weight,1,1,1,1,1
gender,1,1,0,0,1
birth date,1,1,1,1,1
origin,1,1,0,0,0
status,1,1,0,0,0
location,1,1,0,0,0
code,1,1,0,0,0
type,1,1,0,0,0
code,1,1,0,0,0
product,1,1,0,0,0
result,1,1,0,0,0
jockey,1,1,0,0,0
duration,1,1,1,1,1
operator,1,1,0,0,0
club,1,1,0,0,0
family,1,1,0,0,0
county,1,1,0,0,0
result,1,1,0,0,0
format,1,1,0,0,0
city,1,1,0,0,0
publisher,1,1,0,0,0
birth date,1,1,1,1,1
county,1,1,0,0,0
credit,1,1,0,0,0
duration,1,1,1,1,1
category,1,1,0,0,0
elevation,1,1,0,0,0
class,1,1,0,0,0
country,1,1,0,0,0
address,1,1,0,0,0
weight,1,1,1,1,1
status,1,1,0,0,0
category,1,1,0,0,0
team name,1,1,0,0,0
elevation,1,1,0,0,0
birth place,1,1,0,0,0
industry,1,1,0,0,0
album,1,1,0,0,0
birth date,1,1,1,1,1
company,1,1,0,0,0
manufacturer,1,1,0,0,0
location,1,1,0,0,0
product,1,1,0,0,0
class,1,1,0,0,0
publisher,1,1,0,0,0
county,1,1,0,0,0
type,1,1,0,0,0
jockey,1,1,0,0,0
format,1,1,0,0,0
club,1,1,0,0,0
city,1,1,0,0,0
artist,1,1,0,0,0
address,1,1,0,0,0
category,1,1,0,0,0
position,1,1,0,0,0
notes,1,1,0,0,0
county,1,1,0,0,0
team,1,1,0,0,0
code,1,1,0,0,0
country,1,1,0,0,0
duration,1,1,1,1,1
artist,1,1,0,0,0
notes,1,1,0,0,0
species,1,1,0,0,0
